INSTNM,CITY,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,FEMALE,FIRST_GEN,FAMINC,MD_FAMINC
Alabama A & M University,Normal,0.684,430.0,523.0,400.0,510.0,370.0,457.0,475.0,460.0,414.0,15.0,19.0,13.0,20.0,15.0,18.0,,,18.0,17.0,17.0,,920.0,920.0,0.0333,0.0157,0.0059,0.0,0.0,0.0333,0.0802,0.0,0.0391,0.1076,0.0157,0.0,0.0235,0.0,0.0117,0.0176,0.0,0.1644,0.002,0.0,0.0,0.0333,0.0,0.0,0.0117,0.0,0.0744,0.09,0.0431,0.0313,0.0,0.0,0.0,0.0,0.0137,0.0,0.1526,0.0,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0115,0.0435,,,,14982.0,,,,14205.0,14526.0,16532.0,20139.0,17539.0,,,,,,,,,,,,,,,,14306.0,,,,15098.0,,18885.0,,,,,,23167.0,,10024.0,18634.0,,0.5640301318,0.3658280922,32362.826114,23553
University of Alabama at Birmingham,Birmingham,0.8668,610.0,690.0,590.0,720.0,,,637.0,644.0,,23.0,30.0,22.0,33.0,20.0,28.0,,,27.0,28.0,25.0,,1291.0,1291.0,0.0,0.0,0.0,0.0007,0.0269,0.0,0.0241,0.0,0.067,0.06,0.0,0.0073,0.0,0.0,0.0157,0.0328,0.0,0.125,0.0063,0.0,0.0,0.0,0.0052,0.0,0.0227,0.0003,0.0792,0.0353,0.0175,0.0265,0.0,0.0,0.0,0.0,0.0248,0.2213,0.1934,0.008,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0237,0.0064,,,,16755.0,,,,14620.0,15130.0,17379.0,20045.0,19342.0,,,,,,,,,,,,,,,,14795.0,,,,16242.0,,19598.0,,,,,,26257.0,,8832.0,21216.0,,0.6390907397,0.341223671,51306.674306,34489
Amridge University,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0,0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6486486486,0.5125,21079.472973,15033.5
University of Alabama in Huntsville,Huntsville,0.781,613.0,700.0,613.0,730.0,,,640.0,655.0,,25.0,30.0,24.0,34.0,23.0,30.0,,,28.0,28.0,26.0,,1259.0,1259.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0906,0.0,0.0085,0.2924,0.0,0.0122,0.0,0.0,0.017,0.0,0.0,0.0553,0.0152,0.0,0.0201,0.0219,0.0018,0.0,0.0413,0.0,0.0249,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0535,0.1119,0.1945,0.0079,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0149,0.0252,,,,18240.0,,,,13902.0,15703.0,18802.0,20880.0,20467.0,,,,,,,,,,,,,,,,14627.0,,,,17524.0,,20618.0,,,,,,25777.0,,11878.0,24770.0,,0.4763499372,0.3101321586,61096.588949,44787
Alabama State University,Montgomery,0.966,429.0,531.0,399.0,510.0,,,488.0,457.0,,16.0,20.0,14.0,20.0,14.0,18.0,,,18.0,17.0,17.0,,963.0,963.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.075,0.0,0.0625,0.0104,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.1271,0.0063,0.0,0.0958,0.0146,0.0,0.0,0.0063,0.0,0.0521,0.1229,0.0438,0.0271,0.0,0.0,0.0,0.0,0.0604,0.05,0.15,0.0104,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0221,0.0088,,,,13527.0,,,,13066.0,13738.0,13505.0,14414.0,15590.0,,,,,,,,,,,,,,,,13258.0,,,,13665.0,,15086.0,,,,,,21900.0,,11068.0,19396.0,,0.6134185304,0.3434343434,31684.382188,22080.5
The University of Alabama,Tuscaloosa,0.8006,570.0,690.0,560.0,720.0,480.0,600.0,610.0,610.0,540.0,23.0,31.0,23.0,34.0,22.0,29.0,7.0,8.0,26.0,27.0,24.0,8.0,1304.0,1304.0,0.0,0.0036,0.0,0.0016,0.0944,0.0,0.0139,0.0,0.0243,0.1235,0.0,0.0042,0.0798,0.0,0.0105,0.0,0.0,0.0341,0.0095,0.0,0.0141,0.0268,0.0028,0.0,0.0095,0.0,0.0403,0.0,0.0111,0.0786,0.0,0.0,0.0,0.0,0.021,0.1008,0.2868,0.0087,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0092,0.0386,,,,20888.0,,,,17942.0,19931.0,21867.0,23680.0,23931.0,,,,,,,,,,,,,,,,18570.0,,,,20826.0,,23848.0,,,,,,31024.0,,11940.0,32300.0,,0.6152524168,0.2257126887,91846.749624,66733.5
Central Alabama Community College,Alexander City,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0446,0.0,0.0,0.0179,0.0,0.0054,0.0,0.0,0.3696,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.2143,0.0,0.0,0.1893,0.0232,0.0,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0052,0.0031,,,,8227.0,,,,7232.0,6749.0,9895.0,11020.0,11738.0,,,,,,,,,,,,,,,,7069.0,,,,8266.0,,11259.0,,,,,,14041.0,,4990.0,8740.0,,0.6037383178,0.5496760259,30767.764486,22217
Athens State University,Athens,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.3579,0.0,0.0,0.0,0.0,0.0,0.0211,0.0684,0.0,0.0132,0.0158,0.0,0.0158,0.0039,0.0039,0.0,0.0,0.0,0.0158,0.0158,0.0,0.0197,0.0,0.0,0.0,0.0,0.025,0.0211,0.3632,0.0105,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0041,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705078125,0.4774964838,38479.38737,29645.5
Auburn University at Montgomery,Montgomery,0.9223,510.0,615.0,500.0,575.0,,,538.0,518.0,,18.0,25.0,17.0,24.0,16.0,23.0,,,21.0,20.0,19.0,,1051.0,1051.0,0.0,0.0162,0.0,0.0,0.0192,0.0,0.0708,0.0,0.0546,0.0,0.0,0.0044,0.0,0.0,0.0192,0.0,0.0,0.0619,0.0044,0.0,0.0664,0.0649,0.0,0.0,0.0147,0.0,0.0693,0.0605,0.0,0.0324,0.0,0.0,0.0,0.0,0.0339,0.233,0.1652,0.0088,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0454,0.0048,,,,12630.0,,,,10873.0,12501.0,15041.0,15724.0,14069.0,,,,,,,,,,,,,,,,11309.0,,,,13662.0,,14810.0,,,,,,19771.0,,9100.0,19348.0,,0.6929480901,0.38189609,41987.986288,29671.5
Auburn University,Auburn,0.4374,610.0,680.0,610.0,700.0,520.0,620.0,,,570.0,24.0,30.0,24.0,33.0,22.0,28.0,7.0,8.0,,,,8.0,1292.0,1292.0,0.0378,0.0187,0.018,0.0,0.0523,0.0,0.038,0.0,0.0449,0.1786,0.0,0.0046,0.0371,0.0057,0.0069,0.0002,0.0,0.1051,0.0058,0.0,0.0118,0.0,0.0011,0.0,0.0099,0.0,0.0276,0.0,0.0079,0.0316,0.0,0.0,0.0,0.0212,0.0327,0.0616,0.2364,0.0046,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.028,0.003,,,,24297.0,,,,17481.0,19356.0,23336.0,26709.0,28876.0,,,,,,,,,,,,,,,,18143.0,,,,21582.0,,28269.0,,,,,,33650.0,,12176.0,32960.0,,0.531504671,0.1726471191,92148.626516,72031
